day,month,year,average,is_exam,is_holiday,days_exam,days_holiday,week_day,opponent
1,9,2024,1.0,0,0,107,0,7,1
2,9,2024,1.0,0,0,106,147,1,2
3,9,2024,2.8910505836575875,0,0,105,146,2,3
4,9,2024,2.714859437751004,0,0,104,145,3,4
5,9,2024,2.9022556390977443,0,0,103,144,4,5
6,9,2024,2.8625954198473282,0,0,102,143,5,6
7,9,2024,1.8333333333333333,0,0,101,142,6,7
8,9,2024,1.0,0,0,100,141,7,8
9,9,2024,3.0185185185185186,0,0,99,140,1,9
10,9,2024,3.2156133828996283,0,0,98,139,2,10
11,9,2024,3.08300395256917,0,0,97,138,3,11
12,9,2024,2.9338235294117645,0,0,96,137,4,12
13,9,2024,2.9098039215686273,0,0,95,136,5,13
14,9,2024,2.2,0,0,94,135,6,14
15,9,2024,1.0,0,0,93,134,7,15
16,9,2024,2.6443148688046647,0,0,92,133,1,16
17,9,2024,2.654178674351585,0,0,91,132,2,17
18,9,2024,2.7483870967741937,0,0,90,131,3,18
19,9,2024,2.675438596491228,0,0,89,130,4,19
20,9,2024,2.489913544668588,0,0,88,129,5,20
21,9,2024,1.8431372549019607,0,0,87,128,6,21
22,9,2024,1.0,0,0,86,127,7,22
23,9,2024,2.588235294117647,0,0,85,126,1,23
24,9,2024,2.8212121212121213,0,0,84,125,2,24
25,9,2024,2.521276595744681,0,0,83,124,3,25
26,9,2024,2.665671641791045,0,0,82,123,4,26
27,9,2024,2.5653495440729484,0,0,81,122,5,27
28,9,2024,2.0146341463414634,0,0,80,121,6,28
29,9,2024,1.0,0,0,79,120,7,29
30,9,2024,2.7533783783783785,0,0,78,119,1,30
1,10,2024,2.881188118811881,0,0,77,118,2,31
2,10,2024,3.0416666666666665,0,0,76,117,3,32
3,10,2024,2.803174603174603,0,0,75,116,4,33
4,10,2024,2.8166089965397925,0,0,74,115,5,34
5,10,2024,1.9471153846153846,0,0,73,114,6,35
6,10,2024,1.0,0,0,72,113,7,36
7,10,2024,2.799373040752351,0,0,71,112,1,37
8,10,2024,3.06,0,0,70,111,2,38
9,10,2024,2.9757785467128026,0,0,69,110,3,39
10,10,2024,2.8646864686468647,0,0,68,109,4,40
11,10,2024,2.8491803278688526,0,0,67,108,5,41
12,10,2024,2.1390374331550803,0,0,66,107,6,42
13,10,2024,1.0,0,0,65,106,7,43
14,10,2024,3.0531914893617023,0,0,64,105,1,44
15,10,2024,2.967741935483871,0,0,63,104,2,45
16,10,2024,3.145390070921986,0,0,62,103,3,46
17,10,2024,2.912903225806452,0,0,61,102,4,47
18,10,2024,3.017921146953405,0,0,60,101,5,48
19,10,2024,1.9898477157360406,0,0,59,100,6,49
20,10,2024,1.0,0,0,58,99,7,50
21,10,2024,2.801223241590214,0,0,57,98,1,51
22,10,2024,3.1382636655948555,0,0,56,97,2,52
23,10,2024,2.80188679245283,0,0,55,96,3,53
24,10,2024,2.636627906976744,0,0,54,95,4,54
25,10,2024,2.890322580645161,0,0,53,94,5,55
26,10,2024,1.8299595141700404,0,0,52,93,6,56
27,10,2024,1.0,0,0,51,92,7,57
28,10,2024,2.935593220338983,0,0,50,91,1,58
29,10,2024,3.131487889273356,0,0,49,90,2,59
30,10,2024,3.0140845070422535,0,0,48,89,3,60
31,10,2024,2.8745874587458746,0,0,47,88,4,61
1,11,2024,2.9818840579710146,0,0,46,87,5,62
2,11,2024,1.90521327014218,0,0,45,86,6,63
3,11,2024,1.0,0,0,44,85,7,64
4,11,2024,1.0,0,1,43,0,1,65
5,11,2024,3.2805755395683454,0,0,42,83,2,66
6,11,2024,2.9859154929577465,0,0,41,82,3,67
7,11,2024,3.0952380952380953,0,0,40,81,4,68
8,11,2024,3.0875912408759123,0,0,39,80,5,69
9,11,2024,2.118556701030928,0,0,38,79,6,70
10,11,2024,1.0,0,0,37,78,7,71
11,11,2024,2.9586206896551723,0,0,36,77,1,72
12,11,2024,3.0448717948717947,0,0,35,76,2,73
13,11,2024,3.1865671641791047,0,0,34,75,3,74
14,11,2024,3.0549828178694156,0,0,33,74,4,75
15,11,2024,2.9249146757679183,0,0,32,73,5,76
16,11,2024,2.027173913043478,0,0,31,72,6,77
17,11,2024,1.0,0,0,30,71,7,78
18,11,2024,3.107011070110701,0,0,29,70,1,79
19,11,2024,3.379182156133829,0,0,28,69,2,80
20,11,2024,3.0253623188405796,0,0,27,68,3,81
21,11,2024,3.0545454545454547,0,0,26,67,4,82
22,11,2024,3.124031007751938,0,0,25,66,5,83
23,11,2024,2.151351351351351,0,0,24,65,6,84
24,11,2024,1.0,0,0,23,64,7,85
25,11,2024,3.1863117870722433,0,0,22,63,1,86
26,11,2024,3.1654411764705883,0,0,21,62,2,87
27,11,2024,3.078740157480315,0,0,20,61,3,88
28,11,2024,3.051851851851852,0,0,19,60,4,89
29,11,2024,2.9157088122605366,0,0,18,59,5,90
30,11,2024,1.9120879120879122,0,0,17,58,6,91
1,12,2024,1.0,0,0,16,57,7,92
2,12,2024,2.9927797833935017,0,0,15,56,1,93
3,12,2024,3.2444444444444445,0,0,14,55,2,94
4,12,2024,3.1297709923664123,0,0,13,54,3,95
5,12,2024,3.0112359550561796,0,0,12,53,4,96
6,12,2024,3.0739299610894943,0,0,11,52,5,97
7,12,2024,2.132947976878613,0,0,10,51,6,98
8,12,2024,1.0,0,0,9,50,7,99
9,12,2024,3.0381679389312977,0,0,8,49,1,100
10,12,2024,3.003690036900369,0,0,7,48,2,101
11,12,2024,3.0984251968503935,0,0,6,47,3,102
12,12,2024,2.745318352059925,0,0,5,46,4,103
13,12,2024,2.8282442748091605,0,0,4,45,5,104
14,12,2024,1.7254901960784315,0,0,3,44,6,105
15,12,2024,1.0,0,0,2,43,7,106
16,12,2024,3.034090909090909,0,0,1,42,1,107
17,12,2024,1.330188679245283,1,0,0,41,2,108
18,12,2024,1.328358208955224,1,0,0,40,3,109
19,12,2024,1.2109375,1,0,0,39,4,110
20,12,2024,1.2113821138211383,1,0,0,38,5,111
21,12,2024,1.0253164556962024,1,0,0,37,6,112
22,12,2024,1.0,1,0,0,36,7,113
23,12,2024,1.1544715447154472,1,0,0,35,1,114
24,12,2024,1.1458333333333333,1,0,0,34,2,115
25,12,2024,1.0338983050847457,1,0,0,33,3,116
26,12,2024,1.1354166666666667,1,0,0,32,4,117
27,12,2024,1.0240963855421688,1,0,0,31,5,118
1,1,2024,2.0,0,1,145,0,1,484
2,1,2024,2.0,0,1,144,0,2,485
3,1,2024,2.0,0,1,143,0,3,486
4,1,2024,2.0,0,1,142,0,4,487
5,1,2024,2.0,0,1,141,0,5,488
6,1,2024,2.0,0,1,140,0,6,489
7,1,2024,2.0,0,1,139,0,7,490
8,1,2024,2.0,0,1,138,0,1,491
9,1,2024,2.0,0,0,137,173,2,492
10,1,2024,2.0,0,0,136,172,3,493
11,1,2024,2.0,0,0,135,171,4,494
12,1,2024,2.0,0,0,134,170,5,495
13,1,2024,2.0,0,0,133,169,6,496
14,1,2024,2.0,0,0,132,168,7,497
15,1,2024,2.0,0,0,131,167,1,498
16,1,2024,2.0,0,0,130,166,2,499
17,1,2024,2.0,0,0,129,165,3,500
18,1,2024,2.0,0,0,128,164,4,501
19,1,2024,2.0,0,0,127,163,5,502
20,1,2024,2.0,0,0,126,162,6,503
21,1,2024,2.0,0,0,125,161,7,504
22,1,2024,2.0,0,0,124,160,1,505
23,1,2024,2.0,0,0,123,159,2,506
24,1,2024,2.0,0,0,122,158,3,507
25,1,2024,2.0,0,0,121,157,4,508
26,1,2024,2.0,0,0,120,156,5,509
27,1,2024,2.0,0,0,119,155,6,510
28,1,2024,2.0,0,0,118,154,7,511
29,1,2024,2.0,0,0,117,153,1,512
30,1,2024,2.0,0,0,116,152,2,513
31,1,2024,2.0,0,0,115,151,3,514
1,2,2024,2.0,0,0,114,150,4,515
2,2,2024,2.0,0,0,113,149,5,516
3,2,2024,2.0,0,0,112,148,6,517
4,2,2024,2.0,0,0,111,147,7,518
5,2,2024,2.0,0,0,110,146,1,519
6,2,2024,2.0,0,0,109,145,2,520
7,2,2024,2.0,0,0,108,144,3,521
8,2,2024,2.0,0,0,107,143,4,522
9,2,2024,2.0,0,0,106,142,5,523
