month,day,year,name,win,lose,section
11,20,2024,"ЧГПУ (Грозный)",2,0,volleyball
11,19,2024,"МСХА (Москва)",2,0,volleyball
11,19,2024,"АлтГПУ (Барнаул)",2,0,volleyball
11,18,2024,"ТГУ (Тамбов)",0,2,volleyball
11,15,2024,"ЦФКиС",1,0,volleyball
10,25,2024,"ВИФК",3,2,volleyball
10,20,2024,"Невские Медведи",1,0,volleyball
10,19,2024,"Мелон",3,0,volleyball
10,12,2024,"Приморец",3,0,volleyball
10,10,2024,"Президент-Консалт",3,1,volleyball
7,17,2024,"ДВГУПС (Хабаровск)",3,0,volleyball
7,16,2024,"МИРЭА",3,0,volleyball
7,13,2024,"УРГУПС",2,3,volleyball
7,12,2024,"КГУ",0,3,volleyball
7,11,2024,"ПГУФКСИТ",0,3,volleyball
4,21,2024,"G-Drive",3,0,volleyball
4,20,2024,"Атомэнергопроект Росатом",3,1,volleyball
4,9,2024,"БГТУ",3,0,volleyball
4,9,2024,"Ясный перец",3,1,volleyball
4,8,2024,"RMS",3,1,volleyball
3,5,2024,"SETL Group",3,1,volleyball
2,13,2024,"Экран",3,1,volleyball
2,13,2024,"Экран",3,1,volleyball
