day,month,year,name,section,average,is_exam,is_holiday,days_exam,days_holiday,week_day,target
29,10,2023,БГТУ_Военмех,Basketball,2.0,0,0,49,90,7,0.461
5,11,2023,РАНХиГС_Невских_Титанов,Basketball,2.0,0,0,42,83,7,0.562
12,11,2023,ИТМО,Basketball,2.0,0,0,35,76,7,0.549
19,11,2023,РГПУ_им._Герцена,Basketball,2.0,0,0,28,69,7,0.518
10,12,2023,СПБГУПТД-2,Basketball,2.0,0,0,7,48,7,0.451
24,12,2023,НГУ,Basketball,2.0,1,0,0,34,7,1.0
21,1,2024,СПБГУПТД-2,Basketball,2.0,0,0,125,161,7,0.4
28,1,2024,МЧС_Невские_львы,Basketball,2.0,0,0,118,154,7,0.409
4,2,2024,ЛГУ_Зенит,Basketball,2.0,0,0,111,147,7,0.465
4,2,2024,СПБГАСУ,Basketball,2.0,0,0,111,147,7,0.722
11,2,2024,СПБГЭтУ_ЛЭТИ,Basketball,2.0,0,0,104,140,7,0.632
17,3,2024,РГПУ_им._Герцена,Basketball,2.0,0,0,69,105,7,0.496
22,3,2024,НГУ,Basketball,2.0,0,0,64,100,5,0.57
29,3,2024,МЧС_Невские_львы,Basketball,2.0,0,0,57,93,5,0.48
3,4,2024,ЛГУ_Зенит,Basketball,2.0,0,0,52,88,3,0.403
22,10,2024,ГУТИД,Basketball,3.1382636655948555,0,0,56,97,2,0.439
5,11,2024,РАНХиГС_Невских_Титанов,Basketball,3.2805755395683454,0,0,42,83,2,0.532
12,11,2024,Волки_ЛТУ,Basketball,3.0448717948717947,0,0,35,76,2,0.543
19,11,2024,ЛГУ_Зенит,Basketball,3.379182156133829,0,0,28,69,2,0.438
29,10,2023,БГТУ_Военмех,Basketball,2.0,0,0,49,90,7,0.461
5,11,2023,РАНХиГС_Невских_Титанов,Basketball,2.0,0,0,42,83,7,0.562
12,11,2023,ИТМО,Basketball,2.0,0,0,35,76,7,0.549
19,11,2023,РГПУ_им._Герцена,Basketball,2.0,0,0,28,69,7,0.518
10,12,2023,СПБГУПТД-2,Basketball,2.0,0,0,7,48,7,0.451
24,12,2023,НГУ,Basketball,2.0,1,0,0,34,7,1.0
21,1,2024,СПБГУПТД-2,Basketball,2.0,0,0,125,161,7,0.4
28,1,2024,МЧС_Невские_львы,Basketball,2.0,0,0,118,154,7,0.409
4,2,2024,ЛГУ_Зенит,Basketball,2.0,0,0,111,147,7,0.465
4,2,2024,СПБГАСУ,Basketball,2.0,0,0,111,147,7,0.722
11,2,2024,СПБГЭтУ_ЛЭТИ,Basketball,2.0,0,0,104,140,7,0.632
17,3,2024,РГПУ_им._Герцена,Basketball,2.0,0,0,69,105,7,0.496
22,3,2024,НГУ,Basketball,2.0,0,0,64,100,5,0.57
29,3,2024,МЧС_Невские_львы,Basketball,2.0,0,0,57,93,5,0.48
3,4,2024,ЛГУ_Зенит,Basketball,2.0,0,0,52,88,3,0.403
22,10,2024,ГУТИД,Basketball,3.1382636655948555,0,0,56,97,2,0.439
5,11,2024,РАНХиГС_Невских_Титанов,Basketball,3.2805755395683454,0,0,42,83,2,0.532
12,11,2024,Волки_ЛТУ,Basketball,3.0448717948717947,0,0,35,76,2,0.543
19,11,2024,ЛГУ_Зенит,Basketball,3.379182156133829,0,0,28,69,2,0.438
