day,month,year,average,is_exam,is_holiday,days_exam,days_holiday,week_day,opponent,result
29,10,2023,2.0,0,0,49,90,7,1,0.461
5,11,2023,2.0,0,0,42,83,7,2,0.562
12,11,2023,2.0,0,0,35,76,7,3,0.549
19,11,2023,2.0,0,0,28,69,7,4,0.518
10,12,2023,2.0,0,0,7,48,7,5,0.451
24,12,2023,2.0,1,0,0,34,7,6,1.0
21,1,2024,2.0,0,0,125,161,7,5,0.4
28,1,2024,2.0,0,0,118,154,7,7,0.409
4,2,2024,2.0,0,0,111,147,7,8,0.465
4,2,2024,2.0,0,0,111,147,7,9,0.722
11,2,2024,2.0,0,0,104,140,7,10,0.632
17,3,2024,2.0,0,0,69,105,7,4,0.496
22,3,2024,2.0,0,0,64,100,5,6,0.57
29,3,2024,2.0,0,0,57,93,5,7,0.48
3,4,2024,2.0,0,0,52,88,3,8,0.403
22,10,2024,3.1382636655948555,0,0,56,97,2,11,0.439
5,11,2024,3.2805755395683454,0,0,42,83,2,2,0.532
12,11,2024,3.0448717948717947,0,0,35,76,2,12,0.543
19,11,2024,3.379182156133829,0,0,28,69,2,8,0.438
29,10,2023,2.0,0,0,49,90,7,1,0.461
5,11,2023,2.0,0,0,42,83,7,2,0.562
12,11,2023,2.0,0,0,35,76,7,3,0.549
19,11,2023,2.0,0,0,28,69,7,4,0.518
10,12,2023,2.0,0,0,7,48,7,5,0.451
24,12,2023,2.0,1,0,0,34,7,6,1.0
21,1,2024,2.0,0,0,125,161,7,5,0.4
28,1,2024,2.0,0,0,118,154,7,7,0.409
4,2,2024,2.0,0,0,111,147,7,8,0.465
4,2,2024,2.0,0,0,111,147,7,9,0.722
11,2,2024,2.0,0,0,104,140,7,10,0.632
17,3,2024,2.0,0,0,69,105,7,4,0.496
22,3,2024,2.0,0,0,64,100,5,6,0.57
29,3,2024,2.0,0,0,57,93,5,7,0.48
3,4,2024,2.0,0,0,52,88,3,8,0.403
22,10,2024,3.1382636655948555,0,0,56,97,2,11,0.439
5,11,2024,3.2805755395683454,0,0,42,83,2,2,0.532
12,11,2024,3.0448717948717947,0,0,35,76,2,12,0.543
19,11,2024,3.379182156133829,0,0,28,69,2,8,0.438
